GA,GS
GA1.1.1001645033.1734181709,GS1.1.1734181708.1
GA1.1.1010745933.1734181718,GS1.1.1734181718.1
GA1.1.1820308419.1734181728,GS1.1.1734181727.1
GA1.1.2131033395.1734181738,GS1.1.1734181737.1
GA1.1.935147947.1734181747,GS1.1.1734181746.1
GA1.1.1156288852.1734181756,GS1.1.1734181756.1
GA1.1.183025609.1734181766,GS1.1.1734181765.1
GA1.1.322187977.1734181775,GS1.1.1734181774.1
GA1.1.323662093.1734181783,GS1.1.1734181783.1
GA1.1.306571521.1734181793,GS1.1.1734181792.1
GA1.1.1439269589.1734181801,GS1.1.1734181801.1
GA1.1.1996590556.1734181811,GS1.1.1734181810.1
GA1.1.1746965411.1734181820,GS1.1.1734181820.1
GA1.1.1640944422.1734181830,GS1.1.1734181830.1
GA1.1.949741856.1734181839,GS1.1.1734181838.1
GA1.1.1003879893.1734181847,GS1.1.1734181847.1
GA1.1.716843564.1734181856,GS1.1.1734181856.1
GA1.1.752389896.1734181865,GS1.1.1734181865.1
GA1.1.1940419986.1734181874,GS1.1.1734181873.1
GA1.1.690547112.1734181883,GS1.1.1734181883.1
GA1.1.1437461730.1734181893,GS1.1.1734181892.1
GA1.1.1345732457.1734181902,GS1.1.1734181902.1
GA1.1.2072696067.1734181912,GS1.1.1734181911.1
GA1.1.1188619057.1734181921,GS1.1.1734181920.1
GA1.1.891744652.1734181929,GS1.1.1734181929.1
GA1.1.2026644146.1734181938,GS1.1.1734181937.1
GA1.1.358336210.1734181947,GS1.1.1734181947.1
GA1.1.932159221.1734181956,GS1.1.1734181955.1
GA1.1.1375996092.1734181965,GS1.1.1734181965.1
GA1.1.634975708.1734181974,GS1.1.1734181974.1
GA1.1.433316445.1734181983,GS1.1.1734181982.1
GA1.1.68106932.1734181992,GS1.1.1734181992.1
GA1.1.172051503.1734182001,GS1.1.1734182000.1
GA1.1.985830004.1734182010,GS1.1.1734182009.1
GA1.1.1322107815.1734182018,GS1.1.1734182018.1
GA1.1.5973895.1734182028,GS1.1.1734182027.1
GA1.1.844711928.1734182037,GS1.1.1734182036.1
GA1.1.882740530.1734182045,GS1.1.1734182045.1
GA1.1.866153233.1734182055,GS1.1.1734182054.1
GA1.1.686467335.1734182071,GS1.1.1734182071.1
GA1.1.1971472458.1734182080,GS1.1.1734182079.1
GA1.1.917448386.1734182089,GS1.1.1734182088.1
GA1.1.2140112977.1734182098,GS1.1.1734182097.1
GA1.1.1906382229.1734182107,GS1.1.1734182106.1
GA1.1.1736271300.1734182118,GS1.1.1734182118.1
GA1.1.1749326154.1734182127,GS1.1.1734182126.1
GA1.1.923430045.1734182136,GS1.1.1734182135.1
GA1.1.2062680513.1734182146,GS1.1.1734182145.1
GA1.1.1195265942.1734182154,GS1.1.1734182154.1
GA1.1.891967517.1734182163,GS1.1.1734182163.1
GA1.1.1806980636.1734182173,GS1.1.1734182172.1
GA1.1.16590343.1734182182,GS1.1.1734182182.1
GA1.1.1126876248.1734182191,GS1.1.1734182191.1
GA1.1.1299895303.1734182199,GS1.1.1734182199.1
GA1.1.1318188343.1734182209,GS1.1.1734182208.1
GA1.1.650134050.1734182218,GS1.1.1734182218.1
GA1.1.1837779602.1734182227,GS1.1.1734182226.1
GA1.1.1235086126.1734182236,GS1.1.1734182235.1
GA1.1.512347461.1734182245,GS1.1.1734182244.1
GA1.1.1411251740.1734182253,GS1.1.1734182253.1
GA1.1.2043839744.1734182262,GS1.1.1734182262.1
GA1.1.1027238683.1734182272,GS1.1.1734182272.1
GA1.1.1540362475.1734182280,GS1.1.1734182280.1
GA1.1.370239811.1734182289,GS1.1.1734182288.1
GA1.1.2045733608.1734182297,GS1.1.1734182297.1
GA1.1.469735712.1734182306,GS1.1.1734182306.1
GA1.1.370940502.1734182316,GS1.1.1734182315.1
GA1.1.1181069973.1734182325,GS1.1.1734182324.1
GA1.1.128853375.1734182333,GS1.1.1734182333.1
GA1.1.486094276.1734182342,GS1.1.1734182341.1
GA1.1.1645014701.1734182351,GS1.1.1734182350.1
GA1.1.1926394388.1734182360,GS1.1.1734182359.1
GA1.1.156120055.1734182369,GS1.1.1734182368.1
GA1.1.871521755.1734182379,GS1.1.1734182378.1
GA1.1.149127829.1734182387,GS1.1.1734182387.1
GA1.1.928052239.1734182396,GS1.1.1734182396.1
GA1.1.281139141.1734182405,GS1.1.1734182405.1
GA1.1.1170716274.1734182414,GS1.1.1734182414.1
GA1.1.212961162.1734182422,GS1.1.1734182422.1
GA1.1.2078086670.1734182431,GS1.1.1734182431.1
GA1.1.477102054.1734182441,GS1.1.1734182440.1
GA1.1.792978030.1734182449,GS1.1.1734182448.1
GA1.1.980860524.1734182458,GS1.1.1734182457.1
GA1.1.220045019.1734182467,GS1.1.1734182466.1
GA1.1.760373599.1734182475,GS1.1.1734182475.1
GA1.1.2123129881.1734182484,GS1.1.1734182483.1
GA1.1.1527270868.1734182493,GS1.1.1734182492.1
GA1.1.2145966968.1734182501,GS1.1.1734182501.1
GA1.1.226753234.1734182510,GS1.1.1734182509.1
GA1.1.1209794819.1734182521,GS1.1.1734182520.1
GA1.1.846785130.1734182531,GS1.1.1734182531.1
GA1.1.1641651818.1734182540,GS1.1.1734182540.1
GA1.1.1791706634.1734182549,GS1.1.1734182549.1
GA1.1.819439787.1734182558,GS1.1.1734182558.1
GA1.1.1307356660.1734182567,GS1.1.1734182567.1
GA1.1.1806881871.1734182576,GS1.1.1734182576.1
GA1.1.182650256.1734182586,GS1.1.1734182586.1
GA1.1.844529336.1734182596,GS1.1.1734182595.1
GA1.1.1776663949.1734182604,GS1.1.1734182604.1
GA1.1.1133416721.1734182613,GS1.1.1734182613.1
GA1.1.2114817650.1734182622,GS1.1.1734182622.1
GA1.1.1476867905.1734182632,GS1.1.1734182631.1
GA1.1.1963793480.1734182640,GS1.1.1734182640.1
GA1.1.2062124169.1734182649,GS1.1.1734182648.1
GA1.1.1936340509.1734182657,GS1.1.1734182657.1
GA1.1.1839842139.1734182667,GS1.1.1734182666.1
GA1.1.1363083104.1734182676,GS1.1.1734182675.1
GA1.1.1705907014.1734182684,GS1.1.1734182683.1
GA1.1.1512692115.1734182694,GS1.1.1734182694.1
GA1.1.26736357.1734182704,GS1.1.1734182704.1
GA1.1.1189048237.1734182714,GS1.1.1734182714.1
GA1.1.2055911727.1734182725,GS1.1.1734182724.1
GA1.1.2007930111.1734182734,GS1.1.1734182734.1
GA1.1.980160786.1734182744,GS1.1.1734182743.1
GA1.1.311391805.1734182753,GS1.1.1734182752.1
GA1.1.2087587931.1734182761,GS1.1.1734182761.1
GA1.1.1541147934.1734182770,GS1.1.1734182770.1
GA1.1.766223752.1734182779,GS1.1.1734182779.1
GA1.1.1858530243.1734182789,GS1.1.1734182788.1
GA1.1.359810612.1734182797,GS1.1.1734182796.1
GA1.1.710510341.1734182806,GS1.1.1734182805.1
GA1.1.1093890970.1734182815,GS1.1.1734182815.1
GA1.1.2052201220.1734182825,GS1.1.1734182824.1
GA1.1.1613650573.1734182834,GS1.1.1734182833.1
GA1.1.1221009702.1734182842,GS1.1.1734182841.1
GA1.1.665961198.1734182852,GS1.1.1734182852.1
GA1.1.662941031.1734182861,GS1.1.1734182861.1
GA1.1.788156247.1734182871,GS1.1.1734182871.1
GA1.1.1640305832.1734182880,GS1.1.1734182879.1
GA1.1.403816524.1734182889,GS1.1.1734182889.1
GA1.1.1389873410.1734182965,GS1.1.1734182965.1
GA1.1.1945208519.1734182967,GS1.1.1734182967.1
GA1.1.2039303313.1734182971,GS1.1.1734182971.1
GA1.1.1985758140.1734182975,GS1.1.1734182974.1
GA1.1.1788207639.1734182978,GS1.1.1734182978.1
GA1.1.2059783449.1734182982,GS1.1.1734182981.1
GA1.1.265672632.1734182987,GS1.1.1734182986.1
GA1.1.1487767509.1734182990,GS1.1.1734182990.1
GA1.1.552564735.1734182994,GS1.1.1734182993.1
GA1.1.1886276426.1734182997,GS1.1.1734182997.1
GA1.1.804058045.1734183001,GS1.1.1734183001.1
GA1.1.75766246.1734183005,GS1.1.1734183004.1
GA1.1.1045234431.1734183008,GS1.1.1734183008.1
GA1.1.2009670774.1734183013,GS1.1.1734183012.1
GA1.1.1445037339.1734183016,GS1.1.1734183016.1
GA1.1.1960692962.1734183020,GS1.1.1734183019.1
GA1.1.58103919.1734183024,GS1.1.1734183023.1
GA1.1.62806053.1734183027,GS1.1.1734183027.1
GA1.1.1721061738.1734183031,GS1.1.1734183030.1
GA1.1.2059931694.1734183035,GS1.1.1734183034.1
GA1.1.775810577.1734183038,GS1.1.1734183038.1
GA1.1.426588147.1734183043,GS1.1.1734183042.1
GA1.1.1421981548.1734183046,GS1.1.1734183046.1
GA1.1.2027918508.1734183050,GS1.1.1734183049.1
GA1.1.1800503267.1734183053,GS1.1.1734183053.1
GA1.1.115892935.1734183057,GS1.1.1734183057.1
GA1.1.429832988.1734183061,GS1.1.1734183060.1
GA1.1.1288371313.1734183070,GS1.1.1734183070.1
GA1.1.316072457.1734183074,GS1.1.1734183073.1
GA1.1.525008055.1734183078,GS1.1.1734183077.1
GA1.1.1004177951.1734183081,GS1.1.1734183081.1
GA1.1.255342174.1734183085,GS1.1.1734183084.1
GA1.1.30911046.1734183090,GS1.1.1734183089.1
GA1.1.184216766.1734183093,GS1.1.1734183093.1
GA1.1.580344900.1734183097,GS1.1.1734183096.1
GA1.1.2056924617.1734183101,GS1.1.1734183100.1
GA1.1.2082133216.1734183104,GS1.1.1734183104.1
GA1.1.1532947458.1734183108,GS1.1.1734183107.1
GA1.1.433790813.1734183112,GS1.1.1734183111.1
GA1.1.1390067846.1734183115,GS1.1.1734183115.1
GA1.1.614665367.1734183119,GS1.1.1734183119.1
GA1.1.1612365447.1734183123,GS1.1.1734183122.1
GA1.1.606473420.1734183126,GS1.1.1734183126.1
GA1.1.764251411.1734183130,GS1.1.1734183130.1
GA1.1.739038192.1734183134,GS1.1.1734183133.1
GA1.1.1305447498.1734183137,GS1.1.1734183137.1
GA1.1.1646076923.1734183141,GS1.1.1734183141.1
GA1.1.1226211122.1734183145,GS1.1.1734183144.1
GA1.1.624819155.1734183149,GS1.1.1734183148.1
GA1.1.322836071.1734183152,GS1.1.1734183152.1
GA1.1.67391125.1734183156,GS1.1.1734183156.1
GA1.1.287852547.1734183160,GS1.1.1734183159.1
GA1.1.338947987.1734183164,GS1.1.1734183163.1
GA1.1.1760014538.1734183168,GS1.1.1734183167.1
GA1.1.547763791.1734183172,GS1.1.1734183171.1
GA1.1.1901397052.1734183175,GS1.1.1734183175.1
GA1.1.1189215577.1734183179,GS1.1.1734183179.1
GA1.1.886813647.1734183187,GS1.1.1734183186.1
GA1.1.630769574.1734183191,GS1.1.1734183190.1
GA1.1.1281835401.1734183194,GS1.1.1734183194.1
GA1.1.501424841.1734183198,GS1.1.1734183197.1
GA1.1.844947822.1734183201,GS1.1.1734183201.1
GA1.1.1075023476.1734183205,GS1.1.1734183205.1
GA1.1.866885474.1734183209,GS1.1.1734183208.1
GA1.1.215729803.1734183212,GS1.1.1734183212.1
GA1.1.485314229.1734183216,GS1.1.1734183215.1
GA1.1.1846576759.1734183220,GS1.1.1734183219.1
GA1.1.575769377.1734183223,GS1.1.1734183223.1
GA1.1.1573137604.1734183227,GS1.1.1734183227.1
GA1.1.525185610.1734183231,GS1.1.1734183230.1
GA1.1.1828872020.1734183234,GS1.1.1734183234.1
GA1.1.2043397519.1734183238,GS1.1.1734183237.1
GA1.1.371168065.1734183242,GS1.1.1734183241.1
GA1.1.1089736449.1734183245,GS1.1.1734183245.1
GA1.1.943047974.1734183249,GS1.1.1734183248.1
GA1.1.673057849.1734183253,GS1.1.1734183252.1
