GA,GS
GA1.1.1334165584.1734185989,GS1.1.1734185989.1
GA1.1.160217372.1734185992,GS1.1.1734185991.1
GA1.1.1161297553.1734185994,GS1.1.1734185994.1
GA1.1.1267921088.1734185997,GS1.1.1734185996.1
GA1.1.1446043943.1734185999,GS1.1.1734185999.1
GA1.1.208835278.1734186002,GS1.1.1734186002.1
GA1.1.663199116.1734186005,GS1.1.1734186004.1
GA1.1.1871888346.1734186007,GS1.1.1734186007.1
GA1.1.342404775.1734186010,GS1.1.1734186009.1
GA1.1.1203200535.1734186012,GS1.1.1734186012.1
GA1.1.1265678708.1734186015,GS1.1.1734186014.1
GA1.1.448780467.1734186017,GS1.1.1734186017.1
GA1.1.217861513.1734186020,GS1.1.1734186020.1
GA1.1.1463844326.1734186023,GS1.1.1734186022.1
GA1.1.644589080.1734186025,GS1.1.1734186025.1
GA1.1.1065640205.1734186028,GS1.1.1734186027.1
GA1.1.543172689.1734186030,GS1.1.1734186030.1
GA1.1.1050807765.1734186033,GS1.1.1734186033.1
GA1.1.838955964.1734186036,GS1.1.1734186035.1
GA1.1.150849144.1734186038,GS1.1.1734186038.1
GA1.1.217531871.1734186041,GS1.1.1734186040.1
GA1.1.544353719.1734186043,GS1.1.1734186043.1
GA1.1.900634698.1734186046,GS1.1.1734186045.1
GA1.1.1022786357.1734186049,GS1.1.1734186048.1
GA1.1.1221823800.1734186052,GS1.1.1734186051.1
GA1.1.98062191.1734186054,GS1.1.1734186054.1
GA1.1.66277749.1734186057,GS1.1.1734186056.1
GA1.1.342946175.1734186059,GS1.1.1734186059.1
GA1.1.1991265620.1734186062,GS1.1.1734186061.1
GA1.1.815917932.1734186064,GS1.1.1734186064.1
GA1.1.656901928.1734186067,GS1.1.1734186067.1
GA1.1.1676685357.1734186070,GS1.1.1734186069.1
GA1.1.880348396.1734186072,GS1.1.1734186072.1
GA1.1.1272657787.1734186076,GS1.1.1734186075.1
GA1.1.1987062872.1734186077,GS1.1.1734186077.1
GA1.1.1591892628.1734186080,GS1.1.1734186079.1
GA1.1.1237879205.1734186082,GS1.1.1734186082.1
GA1.1.1500500223.1734186085,GS1.1.1734186084.1
GA1.1.256860353.1734186087,GS1.1.1734186087.1
GA1.1.345783220.1734186090,GS1.1.1734186089.1
GA1.1.1868857402.1734186092,GS1.1.1734186092.1
GA1.1.1472399373.1734186095,GS1.1.1734186095.1
GA1.1.1109407155.1734186098,GS1.1.1734186097.1
GA1.1.1360252396.1734186100,GS1.1.1734186100.1
GA1.1.1693672199.1734186103,GS1.1.1734186102.1
GA1.1.1122403652.1734186105,GS1.1.1734186105.1
GA1.1.2050871420.1734186108,GS1.1.1734186107.1
GA1.1.1414871026.1734186110,GS1.1.1734186110.1
GA1.1.238005619.1734186113,GS1.1.1734186112.1
GA1.1.852196199.1734186115,GS1.1.1734186115.1
GA1.1.48626295.1734186118,GS1.1.1734186118.1
GA1.1.1867067121.1734186121,GS1.1.1734186120.1
GA1.1.1420976977.1734186123,GS1.1.1734186123.1
GA1.1.776111345.1734186126,GS1.1.1734186125.1
GA1.1.575645088.1734186128,GS1.1.1734186128.1
GA1.1.1918015857.1734186131,GS1.1.1734186130.1
GA1.1.590992546.1734186133,GS1.1.1734186133.1
GA1.1.462283294.1734186136,GS1.1.1734186136.1
GA1.1.703316005.1734186139,GS1.1.1734186139.1
GA1.1.858680512.1734186142,GS1.1.1734186141.1
GA1.1.2146406865.1734186144,GS1.1.1734186144.1
GA1.1.566503352.1734186147,GS1.1.1734186146.1
GA1.1.103316076.1734186149,GS1.1.1734186149.1
GA1.1.594104499.1734186152,GS1.1.1734186152.1
GA1.1.753563829.1734186155,GS1.1.1734186154.1
GA1.1.1436491150.1734186157,GS1.1.1734186157.1
GA1.1.1974772990.1734186160,GS1.1.1734186159.1
GA1.1.1918569978.1734186162,GS1.1.1734186162.1
GA1.1.684955253.1734186165,GS1.1.1734186165.1
GA1.1.492950944.1734186168,GS1.1.1734186167.1
GA1.1.1102397450.1734186170,GS1.1.1734186170.1
GA1.1.1882268155.1734186174,GS1.1.1734186173.1
GA1.1.2100815920.1734186176,GS1.1.1734186176.1
GA1.1.1884256136.1734186179,GS1.1.1734186178.1
GA1.1.124744727.1734186181,GS1.1.1734186181.1
GA1.1.812770800.1734186184,GS1.1.1734186184.1
GA1.1.1025215477.1734186187,GS1.1.1734186186.1
GA1.1.307371449.1734186189,GS1.1.1734186189.1
GA1.1.1432023796.1734186192,GS1.1.1734186191.1
GA1.1.473285812.1734186194,GS1.1.1734186194.1
GA1.1.105977790.1734186197,GS1.1.1734186197.1
GA1.1.395536876.1734186200,GS1.1.1734186199.1
GA1.1.1907636594.1734186203,GS1.1.1734186202.1
GA1.1.1437326536.1734186205,GS1.1.1734186205.1
GA1.1.617904070.1734186209,GS1.1.1734186209.1
GA1.1.1109006186.1734186212,GS1.1.1734186212.1
GA1.1.1267460057.1734186215,GS1.1.1734186214.1
GA1.1.1312770400.1734186218,GS1.1.1734186217.1
GA1.1.1879329662.1734186220,GS1.1.1734186220.1
GA1.1.1062191637.1734186223,GS1.1.1734186222.1
GA1.1.2035753728.1734186226,GS1.1.1734186225.1
GA1.1.1593289908.1734186228,GS1.1.1734186228.1
GA1.1.1087712534.1734186231,GS1.1.1734186230.1
GA1.1.641317672.1734186233,GS1.1.1734186233.1
GA1.1.2112936817.1734186236,GS1.1.1734186235.1
GA1.1.333747704.1734186239,GS1.1.1734186238.1
GA1.1.112828057.1734186241,GS1.1.1734186241.1
GA1.1.1114135935.1734186244,GS1.1.1734186243.1
GA1.1.1225025473.1734186246,GS1.1.1734186246.1
GA1.1.1857664978.1734186249,GS1.1.1734186248.1
GA1.1.921833464.1734186251,GS1.1.1734186251.1
GA1.1.1749575861.1734186254,GS1.1.1734186253.1
GA1.1.1645403209.1734186256,GS1.1.1734186256.1
GA1.1.462463953.1734186259,GS1.1.1734186258.1
GA1.1.36106037.1734186261,GS1.1.1734186261.1
GA1.1.818786031.1734186264,GS1.1.1734186264.1
GA1.1.798483526.1734186267,GS1.1.1734186266.1
GA1.1.1654862991.1734186269,GS1.1.1734186269.1
GA1.1.1995662915.1734186272,GS1.1.1734186271.1
GA1.1.1247563437.1734186274,GS1.1.1734186274.1
GA1.1.2086065052.1734186277,GS1.1.1734186276.1
GA1.1.1275763168.1734186279,GS1.1.1734186279.1
GA1.1.769422811.1734186282,GS1.1.1734186282.1
GA1.1.827958624.1734186285,GS1.1.1734186284.1
GA1.1.13821997.1734186287,GS1.1.1734186287.1
GA1.1.966083989.1734186290,GS1.1.1734186289.1
GA1.1.1195244287.1734186292,GS1.1.1734186292.1
GA1.1.2135857692.1734186295,GS1.1.1734186294.1
GA1.1.1551041950.1734186298,GS1.1.1734186298.1
GA1.1.257284234.1734186301,GS1.1.1734186300.1
GA1.1.1475924354.1734186303,GS1.1.1734186303.1
GA1.1.672928841.1734186306,GS1.1.1734186305.1
GA1.1.1394359333.1734186308,GS1.1.1734186308.1
GA1.1.563420826.1734186311,GS1.1.1734186310.1
GA1.1.1466874531.1734186314,GS1.1.1734186313.1
GA1.1.100495542.1734186316,GS1.1.1734186316.1
GA1.1.1030223930.1734186319,GS1.1.1734186318.1
GA1.1.1338014979.1734186321,GS1.1.1734186321.1
GA1.1.1262397488.1734186324,GS1.1.1734186323.1
GA1.1.1825963803.1734186326,GS1.1.1734186326.1
GA1.1.501872156.1734186329,GS1.1.1734186328.1
GA1.1.829282119.1734186332,GS1.1.1734186331.1
GA1.1.1854687991.1734186334,GS1.1.1734186334.1
GA1.1.1457955994.1734186337,GS1.1.1734186336.1
GA1.1.540738192.1734186339,GS1.1.1734186339.1
GA1.1.691045138.1734186342,GS1.1.1734186341.1
GA1.1.769673165.1734186344,GS1.1.1734186344.1
GA1.1.491441381.1734186347,GS1.1.1734186346.1
GA1.1.1066441386.1734186349,GS1.1.1734186349.1
GA1.1.1816941974.1734186353,GS1.1.1734186352.1
GA1.1.469008814.1734186355,GS1.1.1734186355.1
GA1.1.1303178559.1734186358,GS1.1.1734186357.1
GA1.1.1974384960.1734186361,GS1.1.1734186360.1
GA1.1.373651555.1734186363,GS1.1.1734186363.1
GA1.1.2146537102.1734186366,GS1.1.1734186365.1
GA1.1.1644654401.1734186368,GS1.1.1734186368.1
GA1.1.1164927047.1734186371,GS1.1.1734186370.1
GA1.1.855984166.1734186373,GS1.1.1734186373.1
GA1.1.1053191592.1734186376,GS1.1.1734186375.1
GA1.1.1957146711.1734186379,GS1.1.1734186378.1
GA1.1.2080044012.1734186381,GS1.1.1734186381.1
GA1.1.1937628174.1734186384,GS1.1.1734186383.1
GA1.1.838926504.1734186386,GS1.1.1734186386.1
GA1.1.1426447695.1734186389,GS1.1.1734186388.1
GA1.1.1027781514.1734186391,GS1.1.1734186391.1
GA1.1.723936276.1734186394,GS1.1.1734186393.1
GA1.1.1591942583.1734186396,GS1.1.1734186396.1
GA1.1.937586525.1734186399,GS1.1.1734186399.1
GA1.1.411640813.1734186402,GS1.1.1734186401.1
GA1.1.694797169.1734186405,GS1.1.1734186404.1
GA1.1.2084734061.1734186407,GS1.1.1734186406.1
GA1.1.594674766.1734186410,GS1.1.1734186409.1
GA1.1.343690597.1734186412,GS1.1.1734186412.1
GA1.1.1944606381.1734186415,GS1.1.1734186414.1
GA1.1.450679250.1734186417,GS1.1.1734186417.1
GA1.1.2121632003.1734186420,GS1.1.1734186419.1
GA1.1.794088327.1734186422,GS1.1.1734186422.1
GA1.1.1360634032.1734186425,GS1.1.1734186424.1
GA1.1.782771317.1734186427,GS1.1.1734186427.1
GA1.1.1424734647.1734186430,GS1.1.1734186429.1
GA1.1.1589420734.1734186432,GS1.1.1734186432.1
GA1.1.1979530385.1734186435,GS1.1.1734186435.1
GA1.1.527290608.1734186438,GS1.1.1734186437.1
GA1.1.1676403324.1734186440,GS1.1.1734186440.1
GA1.1.83098832.1734186443,GS1.1.1734186443.1
GA1.1.1638357972.1734186446,GS1.1.1734186445.1
GA1.1.662071473.1734186448,GS1.1.1734186448.1
GA1.1.36088621.1734186451,GS1.1.1734186450.1
GA1.1.111433780.1734186453,GS1.1.1734186453.1
GA1.1.319234695.1734186456,GS1.1.1734186455.1
GA1.1.1772511175.1734186458,GS1.1.1734186458.1
GA1.1.32245593.1734186461,GS1.1.1734186461.1
GA1.1.2076216725.1734186464,GS1.1.1734186463.1
GA1.1.1309421846.1734186466,GS1.1.1734186466.1
GA1.1.1247051880.1734186469,GS1.1.1734186468.1
GA1.1.1417452827.1734186471,GS1.1.1734186471.1
GA1.1.1909440470.1734186474,GS1.1.1734186473.1
GA1.1.1138776043.1734186476,GS1.1.1734186476.1
GA1.1.4767704.1734186479,GS1.1.1734186478.1
GA1.1.114627294.1734186482,GS1.1.1734186481.1
GA1.1.1305669984.1734186484,GS1.1.1734186484.1
GA1.1.1672848176.1734186487,GS1.1.1734186486.1
GA1.1.1774003994.1734186489,GS1.1.1734186489.1
GA1.1.192607060.1734186492,GS1.1.1734186491.1
GA1.1.1224528950.1734186495,GS1.1.1734186494.1
GA1.1.762305268.1734186497,GS1.1.1734186497.1
GA1.1.1603069004.1734186500,GS1.1.1734186499.1
GA1.1.528380811.1734186502,GS1.1.1734186502.1
GA1.1.2037698481.1734186505,GS1.1.1734186504.1
GA1.1.451402208.1734186507,GS1.1.1734186507.1
GA1.1.744450485.1734186510,GS1.1.1734186510.1
GA1.1.431741558.1734186513,GS1.1.1734186512.1
GA1.1.1093374837.1734186515,GS1.1.1734186515.1
GA1.1.198570530.1734186518,GS1.1.1734186517.1
GA1.1.1587490795.1734186520,GS1.1.1734186520.1
GA1.1.1267976470.1734186523,GS1.1.1734186523.1
GA1.1.2050457808.1734186526,GS1.1.1734186525.1
GA1.1.577279306.1734186528,GS1.1.1734186528.1
GA1.1.1652293152.1734186531,GS1.1.1734186530.1
GA1.1.1751260701.1734186533,GS1.1.1734186533.1
GA1.1.1744136099.1734186536,GS1.1.1734186535.1
GA1.1.404861283.1734186538,GS1.1.1734186538.1
GA1.1.217362050.1734186541,GS1.1.1734186540.1
GA1.1.1371484016.1734186543,GS1.1.1734186543.1
GA1.1.2135832735.1734186546,GS1.1.1734186545.1
GA1.1.1937591772.1734186548,GS1.1.1734186548.1
GA1.1.284301034.1734186551,GS1.1.1734186550.1
GA1.1.1031083545.1734186554,GS1.1.1734186553.1
GA1.1.497164844.1734186556,GS1.1.1734186556.1
GA1.1.223001608.1734186559,GS1.1.1734186558.1
GA1.1.377897440.1734186561,GS1.1.1734186561.1
GA1.1.1122087976.1734186564,GS1.1.1734186563.1
GA1.1.403104015.1734186566,GS1.1.1734186566.1
GA1.1.1017237356.1734186569,GS1.1.1734186568.1
GA1.1.1375878182.1734186572,GS1.1.1734186571.1
GA1.1.46093105.1734186574,GS1.1.1734186574.1
GA1.1.586321553.1734186577,GS1.1.1734186576.1
GA1.1.444015496.1734186579,GS1.1.1734186579.1
GA1.1.553986093.1734186582,GS1.1.1734186581.1
GA1.1.1602231224.1734186585,GS1.1.1734186584.1
GA1.1.1562720785.1734186587,GS1.1.1734186587.1
GA1.1.348780983.1734186590,GS1.1.1734186589.1
GA1.1.324768989.1734186592,GS1.1.1734186592.1
GA1.1.1535914045.1734186595,GS1.1.1734186595.1
GA1.1.693949178.1734186597,GS1.1.1734186597.1
GA1.1.686163434.1734186600,GS1.1.1734186599.1
GA1.1.1582570176.1734186602,GS1.1.1734186602.1
GA1.1.689254045.1734186605,GS1.1.1734186604.1
GA1.1.190642256.1734186607,GS1.1.1734186607.1
GA1.1.376213958.1734186611,GS1.1.1734186610.1
GA1.1.114661284.1734186613,GS1.1.1734186613.1
GA1.1.465668060.1734186616,GS1.1.1734186616.1
GA1.1.1428424276.1734186619,GS1.1.1734186618.1
GA1.1.1054733075.1734186622,GS1.1.1734186621.1
GA1.1.144444424.1734186624,GS1.1.1734186624.1
GA1.1.1393022500.1734186627,GS1.1.1734186627.1
GA1.1.1468229820.1734186630,GS1.1.1734186629.1
GA1.1.1472548101.1734186632,GS1.1.1734186632.1
GA1.1.2096393206.1734186635,GS1.1.1734186634.1
GA1.1.908831250.1734186637,GS1.1.1734186637.1
GA1.1.1608647679.1734186640,GS1.1.1734186639.1
GA1.1.2090451783.1734186642,GS1.1.1734186642.1
GA1.1.2079240886.1734186645,GS1.1.1734186644.1
GA1.1.240795179.1734186648,GS1.1.1734186647.1
GA1.1.1665409531.1734186650,GS1.1.1734186650.1
GA1.1.22776021.1734186653,GS1.1.1734186652.1
GA1.1.2031868684.1734186655,GS1.1.1734186655.1
GA1.1.869800496.1734186658,GS1.1.1734186657.1
GA1.1.1923099220.1734186660,GS1.1.1734186660.1
GA1.1.478422427.1734186663,GS1.1.1734186662.1
GA1.1.1447064083.1734186665,GS1.1.1734186665.1
GA1.1.1768696551.1734186668,GS1.1.1734186667.1
GA1.1.913347696.1734186670,GS1.1.1734186670.1
GA1.1.1100811642.1734186673,GS1.1.1734186672.1
GA1.1.6086668.1734186675,GS1.1.1734186675.1
GA1.1.1919057649.1734186678,GS1.1.1734186677.1
GA1.1.919871179.1734186680,GS1.1.1734186680.1
GA1.1.1331702273.1734186683,GS1.1.1734186683.1
GA1.1.2054298052.1734186686,GS1.1.1734186685.1
GA1.1.85243852.1734186688,GS1.1.1734186688.1
GA1.1.768703671.1734186692,GS1.1.1734186691.1
GA1.1.237400994.1734186695,GS1.1.1734186694.1
GA1.1.1159431590.1734186697,GS1.1.1734186697.1
GA1.1.910076236.1734186700,GS1.1.1734186699.1
GA1.1.1535268131.1734186702,GS1.1.1734186702.1
GA1.1.1744678141.1734186705,GS1.1.1734186705.1
GA1.1.2116118059.1734186708,GS1.1.1734186707.1
GA1.1.1197574.1734186710,GS1.1.1734186710.1
GA1.1.1710762773.1734186713,GS1.1.1734186712.1
GA1.1.910180775.1734186716,GS1.1.1734186715.1
GA1.1.113141653.1734186718,GS1.1.1734186718.1
GA1.1.1717735984.1734186721,GS1.1.1734186720.1
GA1.1.1743139286.1734186723,GS1.1.1734186723.1
GA1.1.826052422.1734186726,GS1.1.1734186726.1
GA1.1.1635705831.1734186728,GS1.1.1734186728.1
GA1.1.421854572.1734186731,GS1.1.1734186731.1
GA1.1.1892701431.1734186734,GS1.1.1734186733.1
GA1.1.1334127834.1734186738,GS1.1.1734186738.1
GA1.1.785047788.1734186741,GS1.1.1734186740.1
GA1.1.968371930.1734186744,GS1.1.1734186744.1
GA1.1.1207629764.1734186747,GS1.1.1734186746.1
GA1.1.790261205.1734186749,GS1.1.1734186749.1
GA1.1.763064396.1734186752,GS1.1.1734186751.1
GA1.1.1972165003.1734186754,GS1.1.1734186754.1
GA1.1.1976189906.1734186757,GS1.1.1734186757.1
GA1.1.313028561.1734186760,GS1.1.1734186759.1
GA1.1.1847656783.1734186762,GS1.1.1734186762.1
GA1.1.1969249838.1734186765,GS1.1.1734186764.1
GA1.1.171889130.1734186767,GS1.1.1734186767.1
GA1.1.277172714.1734186770,GS1.1.1734186769.1
GA1.1.2036051838.1734186773,GS1.1.1734186772.1
GA1.1.1545317658.1734186775,GS1.1.1734186775.1
GA1.1.612667440.1734186778,GS1.1.1734186777.1
GA1.1.1182352218.1734186780,GS1.1.1734186780.1
GA1.1.420573683.1734186783,GS1.1.1734186782.1
GA1.1.2065433109.1734186785,GS1.1.1734186785.1
GA1.1.19624103.1734186788,GS1.1.1734186787.1
GA1.1.600425988.1734186790,GS1.1.1734186790.1
GA1.1.577996611.1734186793,GS1.1.1734186792.1
GA1.1.1387603885.1734186795,GS1.1.1734186795.1
GA1.1.398386900.1734186798,GS1.1.1734186797.1
GA1.1.399870209.1734186801,GS1.1.1734186801.1
GA1.1.1859068696.1734186804,GS1.1.1734186803.1
GA1.1.1783044639.1734186806,GS1.1.1734186806.1
GA1.1.1494817781.1734186809,GS1.1.1734186809.1
GA1.1.534162510.1734186812,GS1.1.1734186811.1
GA1.1.436045232.1734186814,GS1.1.1734186814.1
GA1.1.1833162257.1734186817,GS1.1.1734186816.1
GA1.1.156832403.1734186819,GS1.1.1734186819.1
GA1.1.368495142.1734186822,GS1.1.1734186822.1
GA1.1.1582538664.1734186825,GS1.1.1734186824.1
GA1.1.371615875.1734186827,GS1.1.1734186827.1
GA1.1.696143704.1734186830,GS1.1.1734186829.1
GA1.1.1778648862.1734186833,GS1.1.1734186832.1
GA1.1.468597380.1734186835,GS1.1.1734186835.1
GA1.1.16866657.1734186838,GS1.1.1734186838.1
GA1.1.1279824896.1734186841,GS1.1.1734186840.1
GA1.1.1623711297.1734186843,GS1.1.1734186843.1
GA1.1.740972298.1734186846,GS1.1.1734186845.1
GA1.1.414572717.1734186848,GS1.1.1734186848.1
GA1.1.2067691580.1734186851,GS1.1.1734186850.1
GA1.1.1838407896.1734186854,GS1.1.1734186853.1
GA1.1.2109435550.1734186856,GS1.1.1734186856.1
GA1.1.1710494925.1734186859,GS1.1.1734186859.1
GA1.1.171507478.1734186862,GS1.1.1734186861.1
GA1.1.318163182.1734186864,GS1.1.1734186864.1
GA1.1.1327959889.1734186867,GS1.1.1734186866.1
GA1.1.2114216794.1734186869,GS1.1.1734186869.1
GA1.1.120202435.1734186872,GS1.1.1734186872.1
GA1.1.1714060531.1734186875,GS1.1.1734186874.1
GA1.1.1491600231.1734186877,GS1.1.1734186877.1
GA1.1.726851179.1734186880,GS1.1.1734186879.1
GA1.1.1571191542.1734186882,GS1.1.1734186882.1
GA1.1.1032531766.1734186885,GS1.1.1734186884.1
GA1.1.1047517367.1734186887,GS1.1.1734186887.1
GA1.1.1481048763.1734186890,GS1.1.1734186889.1
GA1.1.423046648.1734186893,GS1.1.1734186892.1
GA1.1.562868404.1734186895,GS1.1.1734186895.1
GA1.1.2038101062.1734186899,GS1.1.1734186899.1
GA1.1.761481076.1734186902,GS1.1.1734186901.1
GA1.1.1365330873.1734186904,GS1.1.1734186904.1
GA1.1.400584931.1734186907,GS1.1.1734186907.1
GA1.1.658163453.1734186910,GS1.1.1734186909.1
GA1.1.423099756.1734186913,GS1.1.1734186912.1
GA1.1.23321199.1734186915,GS1.1.1734186915.1
GA1.1.1097062078.1734186918,GS1.1.1734186917.1
GA1.1.1520927110.1734186920,GS1.1.1734186920.1
GA1.1.1483710912.1734186923,GS1.1.1734186922.1
GA1.1.112328785.1734186925,GS1.1.1734186925.1
GA1.1.1160859549.1734186928,GS1.1.1734186928.1
GA1.1.2108287326.1734186931,GS1.1.1734186930.1
GA1.1.2061366692.1734186933,GS1.1.1734186933.1
GA1.1.478642440.1734186936,GS1.1.1734186935.1
GA1.1.1436814863.1734186938,GS1.1.1734186938.1
GA1.1.1424904267.1734186941,GS1.1.1734186940.1
GA1.1.509851814.1734186944,GS1.1.1734186943.1
GA1.1.1858805276.1734186946,GS1.1.1734186946.1
GA1.1.1731573616.1734186949,GS1.1.1734186948.1
GA1.1.837311234.1734186951,GS1.1.1734186951.1
GA1.1.1232365314.1734186954,GS1.1.1734186953.1
GA1.1.1164457220.1734186956,GS1.1.1734186956.1
GA1.1.191808954.1734186959,GS1.1.1734186958.1
GA1.1.528134141.1734186962,GS1.1.1734186961.1
GA1.1.1799936385.1734186964,GS1.1.1734186964.1
GA1.1.1300413409.1734186967,GS1.1.1734186967.1
GA1.1.2042835816.1734186970,GS1.1.1734186969.1
GA1.1.480656833.1734186972,GS1.1.1734186972.1
GA1.1.673057289.1734186975,GS1.1.1734186974.1
GA1.1.786004941.1734186977,GS1.1.1734186977.1
GA1.1.1418126419.1734186980,GS1.1.1734186979.1
GA1.1.798656118.1734186982,GS1.1.1734186982.1
GA1.1.1289266717.1734186985,GS1.1.1734186984.1
GA1.1.813050202.1734186988,GS1.1.1734186987.1
GA1.1.935304478.1734186990,GS1.1.1734186990.1
GA1.1.2087866987.1734186993,GS1.1.1734186992.1
GA1.1.443337409.1734186995,GS1.1.1734186995.1
GA1.1.978665224.1734186998,GS1.1.1734186997.1
GA1.1.1532137101.1734187000,GS1.1.1734187000.1
GA1.1.1299116812.1734187003,GS1.1.1734187003.1
GA1.1.870206118.1734187006,GS1.1.1734187005.1
GA1.1.797641269.1734187008,GS1.1.1734187008.1
GA1.1.1047262382.1734187011,GS1.1.1734187010.1
GA1.1.1216337821.1734187013,GS1.1.1734187013.1
GA1.1.414129236.1734187017,GS1.1.1734187016.1
GA1.1.1010855909.1734187019,GS1.1.1734187019.1
GA1.1.231515190.1734187022,GS1.1.1734187021.1
GA1.1.515508734.1734187024,GS1.1.1734187024.1
GA1.1.406703255.1734187027,GS1.1.1734187026.1
GA1.1.170141945.1734187029,GS1.1.1734187029.1
GA1.1.84675107.1734187032,GS1.1.1734187031.1
GA1.1.1697378821.1734187034,GS1.1.1734187034.1
GA1.1.91239465.1734187037,GS1.1.1734187036.1
GA1.1.606720903.1734187039,GS1.1.1734187039.1
GA1.1.1605296630.1734187042,GS1.1.1734187041.1
GA1.1.1702466124.1734187045,GS1.1.1734187044.1
GA1.1.863173971.1734187047,GS1.1.1734187047.1
GA1.1.22505593.1734187050,GS1.1.1734187049.1
GA1.1.1756373340.1734187052,GS1.1.1734187052.1
GA1.1.1622707600.1734187055,GS1.1.1734187054.1
GA1.1.1099177493.1734187058,GS1.1.1734187057.1
GA1.1.83062786.1734187060,GS1.1.1734187060.1
GA1.1.532874589.1734187063,GS1.1.1734187062.1
GA1.1.1724616749.1734187066,GS1.1.1734187065.1
GA1.1.411441099.1734187068,GS1.1.1734187068.1
GA1.1.315903778.1734187071,GS1.1.1734187070.1
GA1.1.826540176.1734187073,GS1.1.1734187073.1
GA1.1.299390912.1734187076,GS1.1.1734187075.1
GA1.1.1137284023.1734187078,GS1.1.1734187078.1
GA1.1.1924102817.1734187081,GS1.1.1734187080.1
GA1.1.1248754517.1734187083,GS1.1.1734187083.1
GA1.1.352388853.1734187086,GS1.1.1734187085.1
GA1.1.1132364840.1734187088,GS1.1.1734187088.1
GA1.1.289118500.1734187091,GS1.1.1734187091.1
GA1.1.259353476.1734187094,GS1.1.1734187093.1
GA1.1.528830774.1734187096,GS1.1.1734187096.1
GA1.1.1503517371.1734187099,GS1.1.1734187098.1
GA1.1.367748217.1734187102,GS1.1.1734187101.1
GA1.1.531935837.1734187104,GS1.1.1734187104.1
GA1.1.1744042058.1734187107,GS1.1.1734187106.1
GA1.1.839869556.1734187109,GS1.1.1734187109.1
GA1.1.466207083.1734187112,GS1.1.1734187111.1
GA1.1.1329349428.1734187114,GS1.1.1734187114.1
GA1.1.58175417.1734187118,GS1.1.1734187118.1
GA1.1.1717680582.1734187119,GS1.1.1734187119.1
GA1.1.841745606.1734187122,GS1.1.1734187122.1
GA1.1.717891840.1734187125,GS1.1.1734187124.1
GA1.1.383126006.1734187127,GS1.1.1734187127.1
GA1.1.573333686.1734187130,GS1.1.1734187129.1
GA1.1.2011811562.1734187132,GS1.1.1734187132.1
GA1.1.430603643.1734187135,GS1.1.1734187135.1
GA1.1.1269023246.1734187138,GS1.1.1734187137.1
GA1.1.1010829498.1734187141,GS1.1.1734187140.1
GA1.1.500123299.1734187143,GS1.1.1734187143.1
GA1.1.209263072.1734187146,GS1.1.1734187145.1
GA1.1.1435447366.1734187148,GS1.1.1734187148.1
GA1.1.887962854.1734187151,GS1.1.1734187150.1
GA1.1.491495162.1734187153,GS1.1.1734187153.1
GA1.1.853368022.1734187156,GS1.1.1734187156.1
GA1.1.939361379.1734187159,GS1.1.1734187158.1
GA1.1.1524955430.1734187161,GS1.1.1734187161.1
GA1.1.1577130163.1734187164,GS1.1.1734187163.1
GA1.1.154153021.1734187166,GS1.1.1734187166.1
GA1.1.1209234821.1734187169,GS1.1.1734187168.1
GA1.1.517520927.1734187172,GS1.1.1734187171.1
GA1.1.712938940.1734187174,GS1.1.1734187174.1
GA1.1.623930215.1734187177,GS1.1.1734187176.1
GA1.1.615348289.1734187179,GS1.1.1734187179.1
GA1.1.324157441.1734187182,GS1.1.1734187181.1
GA1.1.1358300280.1734187184,GS1.1.1734187184.1
GA1.1.451078300.1734187187,GS1.1.1734187187.1
GA1.1.1364108822.1734187190,GS1.1.1734187189.1
GA1.1.437299542.1734187193,GS1.1.1734187192.1
GA1.1.1440243467.1734187195,GS1.1.1734187195.1
GA1.1.1491877508.1734187198,GS1.1.1734187197.1
GA1.1.1483777043.1734187200,GS1.1.1734187200.1
GA1.1.553070775.1734187203,GS1.1.1734187202.1
GA1.1.1160948585.1734187205,GS1.1.1734187205.1
GA1.1.362532067.1734187208,GS1.1.1734187207.1
GA1.1.474641893.1734187210,GS1.1.1734187210.1
GA1.1.1402032943.1734187213,GS1.1.1734187212.1
GA1.1.994261355.1734187216,GS1.1.1734187215.1
GA1.1.765920635.1734187219,GS1.1.1734187218.1
GA1.1.1633163990.1734187221,GS1.1.1734187221.1
GA1.1.375081835.1734187224,GS1.1.1734187223.1
GA1.1.2104512375.1734187226,GS1.1.1734187226.1
GA1.1.2115357456.1734187229,GS1.1.1734187228.1
GA1.1.421374211.1734187231,GS1.1.1734187231.1
GA1.1.1894209056.1734187234,GS1.1.1734187234.1
GA1.1.1858280778.1734187237,GS1.1.1734187236.1
GA1.1.1884928340.1734187239,GS1.1.1734187239.1
GA1.1.2114706503.1734187242,GS1.1.1734187241.1
GA1.1.1809755349.1734187244,GS1.1.1734187244.1
GA1.1.497985846.1734187247,GS1.1.1734187246.1
GA1.1.365104504.1734187249,GS1.1.1734187249.1
GA1.1.1913694826.1734187252,GS1.1.1734187251.1
GA1.1.347859331.1734187254,GS1.1.1734187254.1
GA1.1.1460195958.1734187257,GS1.1.1734187256.1
GA1.1.1582298970.1734187259,GS1.1.1734187259.1
GA1.1.1823989037.1734187262,GS1.1.1734187261.1
GA1.1.216067873.1734187265,GS1.1.1734187264.1
